X,Y,OBJECTID_1,FID_,FID_1,name,descriptio,timestamp_,ObjectId,Lon,Lat,STATE_NAME,STATE_FIPS,Year,ID,sourceCountry,ENRICH_FID,areaType,bufferUnits,bufferUnitsAlias,bufferRadii,aggregationMethod,HasData,FedLandPt,CritHabPt,NLCDsnIcPt,NLCDfrstPt,NLCDssgPt,NLCDAgPt,NLCDWetPt,NLCDDevPt
-121.80530025223,48.6405625574644,1,0,891, 1994-1997+,"Report 60: Missing Cattle and large footprints found
Class B; Skagit County",1994/05/13 00:00:00+00,892,-121.8053,48.64056,Washington,53,1994,0,US,1,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,72.1,51.5,5.3,72.5,17.3,0,0.9,1.7
-121.09219961339,46.9833328896171,2,1,892,Sep-83,"Report 77: Couple hear vocalizations while camping at Milk Lake
Class B; Kittitas County",1983/09/01 00:00:00+00,893,-121.0922,46.98333,Washington,53,1983,1,US,2,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,91.2,19.8,0.5,81,15.1,0.1,0.4,2.8
-117.676697105333,46.3333272694033,3,2,893,Jul-00,"Report 89: Fishermen hear large animal crashing through the brush in the Blue Mountains
Class B; Columbia County",2000/07/24 00:00:00+00,894,-117.6767,46.33333,Washington,53,2000,2,US,3,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,36.8,1,0.1,23.5,54.7,17.9,1.9,1.9
-122.191396161344,46.0472169448567,4,3,894,Jul-85,"Report 270: Campers awakened by late-night visitor in the Indian Heaven Wilderness
Class B; Skamania County",1985/07/01 00:00:00+00,895,-122.1914,46.04722,Washington,53,1985,3,US,4,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,21.3,7.7,1,68.2,14.6,0,0.6,4.5
-123.196700795802,47.5615991530205,5,4,895,Aug-92,"Report 283: Couple hear sounds and find footprints near Hoodsport
Class B; Mason County",1992/08/29 00:00:00+00,896,-123.1967,47.5616,Washington,53,1992,4,US,5,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,91,76.7,3.6,75,18.7,0,0.3,2.1
-122.538604001809,47.004398198984,6,5,896,Aug-00,"Report 337: Man working his land hears rock against wood sound and distant answer
Class B; Pierce County",2000/08/16 00:00:00+00,897,-122.5386,47.0044,Washington,53,2000,5,US,6,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,39.9,40.1,0.1,44.2,17.7,10.6,6.5,20.7
-121.305100335726,46.873300781082,7,6,897,Jul-00,"Report 382: Campers hear screams and wood knocking near Bumping Lake
Class B; Yakima County",2000/07/21 00:00:00+00,898,-121.3051,46.8733,Washington,53,2000,6,US,7,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,99.6,18.8,1.1,86.6,8.6,0,0.8,1
-122.191396161344,47.79110956117,8,7,898,1999,"Report 391: Blocking of walking trail
Class B; Snohomish County",1999/05/12 00:00:00+00,899,-122.1914,47.79111,Washington,53,1999,7,US,8,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,0,0,0.1,13.3,0.4,0.1,3.2,82.4
-120.512202350198,48.596938633707,9,8,899,Oct-00,"Report 422: Campers hear possible vocalizations in the Okanogon Nat. Forest
Class B; Okanogan County",2000/10/06 00:00:00+00,900,-120.5122,48.59694,Washington,53,2000,8,US,9,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,99.8,34.1,11,55.4,30.6,0,0.2,2.7
-122.344199591173,46.7099969831971,10,9,900,1990,"Report 568: Loud low moan then rose quickly to a high pitched scream heard
Class B; Lewis County",1990/09/22 00:00:00+00,901,-122.3442,46.71,Washington,53,1990,9,US,10,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,63.7,65.2,0,77.5,16.3,0,0.1,5.3
-121.582500095462,45.9169414183461,11,10,901,Sep-00,"Report 741: Hunter finds unrecognizable scat near Guler Mountain. 
Class B; Klickitat County",2000/09/14 00:00:00+00,902,-121.5825,45.91694,Washington,53,2000,10,US,11,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,70.6,59.8,0,77.4,13.9,2.5,1,5.2
-120.835002964394,47.4949982388993,12,11,902,Aug-68,"Report 925: Backpacker observes a tall, early morning visitor in camp
Class B; Chelan County",1968/08/30 00:00:00+00,903,-120.835,47.495,Washington,53,1968,11,US,12,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,100,0,16.4,41.9,40,0,0.3,0.4
-120.959096237742,47.849798894632,13,12,903,Aug-75,"Report 927: Campers hear loud animal ""roars"", from inside the treeline of a clear-cut
Class B; Chelan County",1975/08/10 00:00:00+00,904,-120.9591,47.8498,Washington,53,1975,12,US,13,RingBuffer,esriMiles,Miles,1,BlockApportionment:Landscape.huc12,1,98.8,64.2,1.5,76.1,16.6,0,2.8,2.8
